ahargana,longitude
1242465,215.64864833935195
1242470,220.72132554643383
1242475,225.803336790443
1242480,230.89354319380948
1242485,235.99074578084208
1242490,241.0936943319799
1242495,246.20109658599537
1242500,251.31162772383823
1242505,256.42394006881364
1242510,261.53667293762226
1242515,266.64846257686185
1242520,271.75795211966056
1242525,276.86380149713136
1242530,281.9646972392945
1242535,287.05936210020656
1242540,292.1465644407936
1242545,297.225127306492
1242550,302.2939371311528
1242555,307.35195200521287
1242560,312.398209443691
1242565,317.4318335924739
1242570,322.4520418136475
1242575,327.45815059391396
1242580,332.4495807243164
1242585,337.4258617045917
1242590,342.3866353316409
1242595,347.3316584372965
1242600,352.26080475161325
1242605,357.17406587032065
1242610,2.0715513194492132
1242615,6.9534877155105725
1242620,11.820217029607633
1242625,16.67219397233637
1242630,21.509982524593294
1242635,26.334251647081654
1242640,31.145770208267503
1242645,35.94540117666412
1242650,40.73409512871246
1242655,45.51288312672303
1242660,50.282869028094545
1242665,55.04522128402844
1242670,59.80116429334847
1242675,64.55196937488026
1242680,69.29894542364526
1242685,74.04342931628078
1242690,78.78677613117482
1242695,83.53034924875807
1242700,88.27551039731544
1242705,93.02360970978805
1242710,97.77597585594285
1242715,102.53390631766413
1242720,107.2986578696775
1242725,112.07143733355412
1242730,116.85339266938875
1242735,121.64560447022424
1242740,126.44907792330088
1242745,131.2647353008251
1242750,136.093409040893
1242755,140.9358354763643
1242760,145.79264926577767
1242765,150.66437857594414
1242770,155.55144105919047
1242775,160.4541406652107
1242780,165.37266531460853
1242785,170.30708545898858
1242790,175.2573535406524
1242795,180.22330435735077
1242800,185.2046563285199
1242805,190.20101365065068
1242810,195.2118693209571
1242815,200.23660900050652
1242820,205.27451568079033
1242825,210.3247751099646
1242830,215.38648193280017
1242835,220.45864648772735
1242840,225.5402022063396
1242845,230.63001355420334
1242850,235.72688445079106
1242855,240.8295671046801
1242860,245.9367711992284
1242865,251.04717336344382
1242870,256.1594268625771
1242875,261.2721714429614
1242880,266.3840432658653
1242885,271.49368486400743
1242890,276.59975505796973
1242895,281.7009387637631
1242900,286.79595662866717
1242905,291.88357442883824
1242910,296.9626121634134
1242915,302.03195277993035
1242920,307.0905504664841
1242925,312.13743844712263
1242930,317.17173621867124
1242935,322.1926561697607
1242940,327.19950952490865
1242945,332.19171156413717
1242950,337.1687860678262
1242955,342.130368948297
1242960,347.07621103291996
1242965,352.0061799722591
1242970,356.9202612547533
1242975,1.8185583180215303
1242980,6.7012917557003
1242985,11.568797627572877
1242990,16.421524889410524
1242995,21.260031967386897
1243000,26.08498250851414
1243005,30.8971403489213
1243010,35.6973637423436
1243015,40.486598902095395
1243020,45.26587291078001
1243025,50.03628605657244
1243030,54.79900365736169
1243035,59.555247435897265
1243040,64.30628651030216
1243045,69.05342806502192
1243050,73.79800776776987
1243055,78.54137999701165
1243060,83.28490794779897
1243065,88.02995367816699
1243070,92.7778681637737
1243075,97.52998142515733
1243080,102.28759279315318
1243085,107.05196137793196
1243090,111.82429680714381
1243095,116.60575029852068
1243100,121.39740613188314
1243105,126.20027358468585
1243110,131.0152793940427
1243115,135.8432608050323
1243120,140.68495926564682
1243125,145.54101481948965
1243130,150.41196124835685
1243135,155.298222007995
1243140,160.20010699507736
1243145,165.11781017610835
1243150,170.0514081011103
1243155,175.00085931656324
1243160,179.96600468334466
1243165,184.9465685967204
1243170,189.94216109549114
1243175,194.95228084237212
1243180,199.9763189438591
1243185,205.01356357623447
1243190,210.06320537427598
1243195,215.12434353463357
1243200,220.19599258083358
1243205,225.2770897329425
1243210,230.3665028218769
1243215,235.46303868610445
1243220,240.56545198694195
1243225,245.6724543778669
1243230,250.7827239615589
1243235,255.89491497174913
1243240,261.0076676110065
1243245,266.11961798159723
1243250,271.22940804306404
1243255,276.33569553138557
1243260,281.43716377436914
1243265,286.532531337855
1243270,291.62056143724715
1243275,296.7000710489217
1243280,301.7699396564806
1243285,306.8291175662192
1243290,311.87663373076674
1243295,316.9116030156157
1243300,321.93323285153224
1243305,326.94082921549534
1243310,331.9338018880802
1243315,336.91166894003726
1243320,341.874060406728
1243325,346.82072111584245
1243330,351.751512641337
1243335,356.6664143646585
1243340,1.5655236330517823
1243345,6.449055012426038
1243350,11.317338644522998
1243355,16.170817721112574
1243360,21.010045101943
1243365,25.835679107497427
1243370,30.648478525788175
1243375,35.44929687847395
1243380,40.23907599691027
1243385,45.01883896314862
1243390,49.789682474401744
1243395,54.55276869230448
1243400,59.3093166390862
1243405,64.06059320734063
1243410,68.80790384527221
1243415,73.55258298518488
1243420,78.29598427975223
1243425,83.03947071167681
1243430,87.78440464210907
1243435,92.53213786314151
1243440,97.28400171969776
1243445,102.04129736619646
1243450,106.80528622344839
1243455,111.57718070143152
1243460,116.35813525235746
1243465,121.14923782138342
1243470,125.95150175598806
1243475,130.76585823925416
1243480,135.5931493069917
1243485,140.43412150698774
1243490,145.28942025489854
1243495,150.15958493678048
1243500,155.04504480281588
1243505,159.9461156904671
1243510,164.86299760832134
1243515,169.79577320291932
1243520,174.74440712593437
1243525,179.70874630463842
1243530,184.68852111544717
1243535,189.683347448114
1243540,194.692729640759
1243545,199.7160642576976
1243550,204.7526446746051
1243555,209.80166642889426
1243560,214.86223328738154
1243565,219.93336397842842
1243570,225.01399953194084
1243575,230.103011166337
1243580,235.19920866285807
1243585,240.3013491601171
1243590,245.40814630670118
1243595,250.51827970556675
1243600,255.63040458493472
1243605,260.7431616302052
1243610,265.8551869114787
1243615,270.96512184134707
1243620,276.07162309764215
1243625,281.1733724459707
1243630,286.26908639560054
1243635,291.3575256257551
1243640,296.43750411347406
1243645,301.5078979003603
1243650,306.5676534325355
1243655,311.6157954103375
1243660,316.6514340857445
1243665,321.67377194784467
1243670,326.6821097398274
1243675,331.6758517550062
1243680,336.65451036451
1243685,341.61770973398427
1243690,346.5651886968387
1243695,351.49680275326483
1243700,356.412525178141
1243705,1.3124472260133189
1243710,6.196777431311281
1243715,11.065840010644724
1243720,15.920072382722124
1243725,20.76002182975687
1243730,25.586341332006633
1243735,30.399784614169217
1243740,35.20120044877937
1243745,39.99152626600745
1243750,44.77178112706167
1243755,49.543058116361635
1243760,54.30651621592992
1243765,59.06337172402808
1243770,63.81488928245897
1243775,68.56237257755153
1243780,73.30715478020952
1243785,78.050588790512
1243790,82.79403735231882
1243795,87.53886310341314
1243800,92.28641862555217
1243805,97.03803656210874
1243810,101.79501986552697
1243815,106.55863224241101
1243820,111.33008886078906
1243825,116.11054738508625
1243830,120.90109940381187
1243835,125.70276231420125
1243840,130.51647172676275
1243845,135.3430744507339
1243850,140.183322118738
1243855,145.03786550552726
1243860,149.9072495900962
1243865,154.79190940844603
1243870,159.6921667323556
1243875,164.60822760806224
1243880,169.54018077758067
1243885,174.4879969981777
1243890,179.45152926666276
1243895,184.43051394629683
1243900,189.42457278531717
1243905,194.43321580753386
1243910,199.45584504753103
1243915,204.49175909437488
1243920,209.5401584045325
1243925,214.60015133301886
1243930,219.67076083268992
1243935,224.75093176407947
1243940,229.8395387562087
1243945,234.935394556311
1243950,240.0372588048079
1243955,245.14384717085943
1243960,250.25384078325945
1243965,255.3658958912191
1243970,260.4786536897262
1243975,265.590750243044
1243980,270.7008264435569
1243985,275.8075379372553
1243990,280.90956495306864
1243995,286.0056219696123
1244000,291.09446715403857
1244005,296.1749115075297
1244010,301.24582765219503
1244015,306.30615819466993
1244020,311.35492360271564
1244025,316.39122953286983
1244030,321.4142735483253
1244035,326.4233511728352
1244040,331.4178612245794
1244045,336.39731038469245
1244050,341.36131695745985
1244055,346.30961378703614
1244060,351.24205030281564
1244065,356.1585936736571
1244070,1.0593290596958695
1244075,5.944458959276346
