jd,theta_na,theta_sa,r
2269181.500000,155.574954,172.465473,1.003194
2269182.500000,156.553991,173.444549,1.002907
2269183.500000,157.533555,174.424151,1.002621
2269184.500000,158.513678,175.404312,1.002335
2269185.500000,159.494386,176.385059,1.002049
2269186.500000,160.475705,177.366416,1.001764
2269187.500000,161.457653,178.348402,1.001480
2269188.500000,162.440240,179.331027,1.001196
2269189.500000,163.423473,180.314298,1.000912
2269190.500000,164.407353,181.298216,1.000628
2269191.500000,165.391878,182.282779,1.000344
2269192.500000,166.377044,183.267984,1.000060
2269193.500000,167.362846,184.253823,0.999775
2269194.500000,168.349275,185.240291,0.999490
2269195.500000,169.336324,186.227378,0.999204
2269196.500000,170.323985,187.215077,0.998917
2269197.500000,171.312249,188.203379,0.998629
2269198.500000,172.301105,189.192274,0.998341
2269199.500000,173.290546,190.181752,0.998051
2269200.500000,174.280559,191.171803,0.997761
2269201.500000,175.271132,192.162414,0.997469
2269202.500000,176.262250,193.153570,0.997178
2269203.500000,177.253895,194.145254,0.996886
2269204.500000,178.246048,195.137445,0.996593
2269205.500000,179.238689,196.130125,0.996302
2269206.500000,180.231804,197.123278,0.996011
2269207.500000,181.225383,198.116895,0.995721
2269208.500000,182.219424,199.110973,0.995433
2269209.500000,183.213934,200.105522,0.995148
2269210.500000,184.208930,201.100556,0.994865
2269211.500000,185.204432,202.096096,0.994584
2269212.500000,186.200465,203.092167,0.994307
2269213.500000,187.197052,204.088792,0.994032
2269214.500000,188.194212,205.085990,0.993761
2269215.500000,189.191958,206.083775,0.993492
2269216.500000,190.190300,207.082155,0.993227
2269217.500000,191.189242,208.081135,0.992965
2269218.500000,192.188783,209.080714,0.992705
2269219.500000,193.188922,210.080891,0.992448
2269220.500000,194.189653,211.081661,0.992193
2269221.500000,195.190973,212.083019,0.991941
2269222.500000,196.192874,213.084958,0.991691
2269223.500000,197.195350,214.087472,0.991443
2269224.500000,198.198391,215.090551,0.991196
2269225.500000,199.201990,216.094188,0.990952
2269226.500000,200.206137,217.098373,0.990709
2269227.500000,201.210819,218.103093,0.990468
2269228.500000,202.216023,219.108336,0.990228
2269229.500000,203.221731,220.114082,0.989990
2269230.500000,204.227920,221.120309,0.989753
2269231.500000,205.234560,222.126987,0.989517
2269232.500000,206.241620,223.134085,0.989284
2269233.500000,207.249069,224.141572,0.989053
2269234.500000,208.256879,225.149421,0.988825
2269235.500000,209.265033,226.157613,0.988599
2269236.500000,210.273522,227.166140,0.988377
2269237.500000,211.282345,228.175001,0.988159
2269238.500000,212.291511,229.184205,0.987945
2269239.500000,213.301033,230.193765,0.987736
2269240.500000,214.310926,231.203696,0.987531
2269241.500000,215.321205,232.214013,0.987332
2269242.500000,216.331882,233.224728,0.987138
2269243.500000,217.342965,234.235850,0.986948
2269244.500000,218.354460,235.247383,0.986765
2269245.500000,219.366368,236.259329,0.986586
2269246.500000,220.378688,237.271687,0.986412
2269247.500000,221.391416,238.284454,0.986243
2269248.500000,222.404551,239.297626,0.986079
